name,review,rating
motoadventurebound,"C6Bank, is now tracking CO2 emissions from purchases, travel, etc, and strongly encouraging  to compensate monetarily for them.",1.0
Miro Nomadic,This bank keeps spamming me with messages to get an account with them!!!! I have blocked and reported spam,1.0
David Ramin,"The WORST digital bank
Everything is HORRIBLE
My app is not working for weeks now, my friends have important money in their account, they can't move it in any way and they're trying to reach the bank for a month withouth any success!
Please fix this!",1.0
Ana Fagundes,"BAD BAD BAD- downloaded app, never got the card, they say go to chat, what a joke, no one to help you, I THINK THEY COULD DO BETTER,",1.0
Marcelo Lima,The best bank I've ever seen!,5.0
Peter Pavlic,long time for wait operator call,1.0
A N,the best,5.0
Sidi ___,Ruin,1.0
Bruno Medico,Topzera,5.0
Nando Roldan,Amazing place!,5.0
Michael Capela,"Não recomendo o C6 Bank para ninguém, simplesmente sumiram com meu dinheiro, já entrei em contato com eles por chat, e-mail onde enviei enviei prints, atendimento telefônico, abertura de protocolo e eles não resolvem um simples erro deles.
Toda hora é a mesma resposta, nossos especialistas estão analisando o que aconteceu. E o que aconteceu é o que banco não enviou um Pix que solicitei e não gerou comprovante, ou seja, o banco C6 sumiu com todo o meu dinheiro.
Péssimo atendimento ao correntista, sumiram com meu dinheiro e não devolvem, não tem atendimento efetivo, causaram um prejuízo emocional em minha vida, escrevo isso como forma de ajudar outras pessoas a não acreditarem nessa instituição pois se fizeram isso com o salário de um pai de família podem fazer com qualquer pessoa.
Prefiram banco renomados pois você pode ir na agência e resolver se tiver algum problema. Olhem as outras reclamações aqui escritas, a resposta padrão sempre será a mesma: Entraremos em contato para resolver, procure nossos canais, mas já lhe aviso, esse atendimento não resolve nada mesmo o erro sendo do banco. O engraçado é que se você atrasa um boleto de banco você paga juros, juros de mora, IOF, multa e quando eles erram não se preocupam nem em resolver a situação. Nem tenho conseguido dormir direito por conta do acontecido, já abri reclamação no Banco Central, farei questão de ajudar ao máximo todas as pessoas a enxergarem a verdade que aconteceu comigo para que nao sofram o qur estou passando.",1.0
Edson Pereira,"Tenho conta ha tempos. Boa movimentação no cartão, score alto, bom limite. E do nada retiraram todo meu limite tanto no cartão de crédito quanto no cheque especial, exigindo que eu aplique dinheiro para que meu limite volte. Zombaram da minha inteleigência!! Como assim!!!!??? "" me empresta que eu te empresto"". Simplesmente inexplicável! Não recomendo a niguém. No início é razoável, mas com o tempo cai a máscara!",2.0
JOÃO BAND,"pior empresa pra se ter conta, meu deus... bloquearam meu saldo de mais de 28 mil reais.. e não tem nem ai pra desbloquear, ja abri protocolo em tudo que é canto e nada, hoje já faz um dia que não posso meu dinheiro pra nada. cancelem a conta de vcs e fujam desse banco...",1.0
Rodolfo Martins,"Com toda certeza o pior banco que tive o desprazer de abrir conta.
Tenho que fazer uma transferência para um cliente, o sistema está falhando e, acredite se quiser, o prazo para retorno com explicação do problema é de 5 dias úteis. Olhas só que legal (contém sarcasmo).",1.0
